TrialCode,ArticleOnset,NounOnset,EndingOnset,EndingOffset,Remaining,Prompt,SentDur,CarrierDur,DeterminerDur,PhonOverlapDur,EndingDur,RemainDur
Trial01-pos-campsina_0,2638,2784,3411,3546,3656,Donde esta mi campesina,1656,638,146,627,135,110
Trial02-pos-perro_0,2568,2706,3034,3134,3267,Donde esta mi perro,1267,568,138,328,100,133
Trial03-pos-pesa_0,2448,2592,2952,3051,3208,Donde esta mi pesa,1208,448,144,360,99,157
Trial04-pos-palo_0,2510,2649,2971,3060,3137,Donde esta mi palo,1137,510,139,322,89,77
Trial05-pos-coneja_0,2656,2782,3201,3296,3442,Donde esta mi coneja,1442,646,136,419,95,146
Trial06-pos-brujo_0,2559,2700,3025,3106,3302,Donde esta mi brujo,1302,559,141,325,81,196
Trial07-pos-ramo_0,2553,2669,3026,3120,3267,Donde esta mi ramo,1267,553,146,327,94,147
Trial08-pos-puerta_0,2469,2613,3007,3122,3245,Donde esta mi puerta,1245,469,144,394,115,123
Trial09-def-cocinera_0,2494,2595,3125,3239,3361,Donde esta la cocinera,1361,494,101,530,114,122
Trial10-def-oso_0,2472,2615,2887,2994,3107,Donde esta el oso,1107,472,143,272,107,113
Trial11-def-ojo_0,2509,2675,2910,3003,3125,Donde esta el ojo,1125,509,166,235,93,122
Trial12-def-raya_0,2453,2605,2888,3008,3148,Donde esta la raya,1148,453,152,283,120,140
Trial13-def-gata_0,2543,2681,3026,3133,3313,Donde esta la gata,1313,543,138,345,107,180
Trial14-def-maestro_0,2416,2507,3047,3155,3262,Donde esta el maestro,1262,416,91,540,108,107
Trial15-def-vela_0,2581,2713,2997,3112,3332,Donde esta la vela,1332,581,132,284,115,220
Trial16-def-plato_0,2454,2557,2976,3063,3230,Donde esta el plato,1230,454,103,419,87,167
Trial17-pos-princesa_0,2562,2689,2940,3318,3466,Donde esta mi princesa,1466,562,127,251,378,148
Trial18-pos-toro_0,2476,2639,2912,3031,3144,Donde esta mi toro,1144,476,163,273,119,113
Trial19-pos-libreta_0,2509,2641,2760,3187,3347,Donde esta mi libreta,1347,509,132,119,427,160
Trial20-pos-coco_0,2441,2576,2884,2935,3106,Donde esta mi coco,1106,441,135,308,51,171
Trial21-pos-ninera_0,2460,2605,2886,3163,3245,Donde esta mi ninera,1245,460,145,281,277,82
Trial22-pos-camello_0,2540,2689,2826,3201,3315,Donde esta mi camello,1315,540,149,137,375,114
Trial23-pos-caja_0,2458,2615,2871,3050,3185,Donde esta mi caja,1185,458,157,256,179,135
Trial24-pos-jabon_0,2513,2637,2798,3083,3273,Donde esta mi jabon,1273,513,124,161,285,190
Trial25-def-ballena_0,2478,2617,2742,3149,3250,Donde esta la ballena,1250,478,139,125,407,101
Trial26-def-cabellero_0,2441,2532,2701,3226,3311,Donde esta el caballero,1311,441,91,169,525,85
Trial27-def-pina_0,2486,2606,2815,3029,3125,Donde esta la pina,1125,486,120,209,214,96
Trial28-def-zapato_0,2421,2514,2676,3126,3302,Donde esta el zapato,1302,421,93,162,450,176
Trial29-def-mosca_0,2464,2583,2859,3065,3203,Donde esta la mosca,1203,464,119,276,206,138
Trial30-def-sapo_0,2460,2567,2847,3062,3216,Donde esta el sapo,1216,460,107,280,215,154
Trial31-def-casa_0,2505,2622,2891,3161,3321,Donde esta la casa,1321,505,117,269,270,160
Trial32-def-sombrero_0,2437,2547,2838,3124,3218,Donde esta el sombrero,1218,437,110,291,286,94
Trial33-pos-cantante_0,2457,2598,2721,3217,3357,Donde esta mi cantante,1357,457,141,123,496,140
Trial34-pos-leon_0,2519,2687,2841,3034,3152,Donde esta mi leon,1152,519,168,154,193,118
Trial35-pos-nube_0,2588,2747,2976,3152,3271,Donde esta mi nube,1271,588,159,229,176,119
Trial36-pos-cofre_0,2403,2537,2765,2991,3134,Donde esta mi cofre,1134,403,134,228,226,143
Trial37-def-serpiente_0,2425,2569,2788,3203,3315,Donde esta la serpiente,1315,425,144,219,415,112
Trial38-def-paciente_0,2500,2607,2716,3285,3503,Donde esta el paciente,1503,500,107,109,569,218
Trial39-def-leche_0,2461,2579,2753,2995,3169,Donde esta la leche,1169,461,118,174,242,174
Trial40-def-sobre_0,2472,2544,2800,2990,3203,Donde esta el sobre,1203,472,72,256,190,213
Trial41-pos-mujer_0,2513,2633,2762,3058,3167,Donde esta mi mujer,1167,513,120,129,296,109
Trial42-pos-escorpion_0,2456,2568,2734,3228,3301,Donde esta mi escorpion,1301,456,112,166,494,73
Trial43-pos-sal_0,2543,2673,2927,3051,3225,Donde esta mi sal,1225,543,130,254,124,174
Trial44-pos-tren_0,2523,2675,3001,3001,3164,Donde esta mi tren,1164,523,152,326,0,163
Trial45-def-lombriz_0,2533,2652,2771,3216,3287,Donde esta la lombriz,1287,533,119,119,445,71
Trial46-def-doctor_0,2421,2513,2591,2945,3037,Donde esta el doctor,1037,421,92,78,354,92
Trial47-def-red_0,2473,2626,2800,2838,3013,Donde esta la red,1013,473,153,174,38,175
Trial48-def-camion_0,2426,2496,2653,3020,3120,Donde esta el camion,1120,426,70,157,367,100
