"TOI"	"Determiner"	"NounOnset_adjusted"	"EndingOffset_adjusted"	"Phonol_Overlap_T"
"1"	"Trial01-def-campesina_0"	"Definite"	128	804	"Minimal Pair"
"2"	"Trial01-pos-campesina_0"	"Possessive"	146	908	"Minimal Pair"
"3"	"Trial02-def-perro_0"	"Definite"	108	551	"Minimal Pair"
"4"	"Trial02-pos-perro_0"	"Possessive"	138	566	"Minimal Pair"
"5"	"Trial03-def-pesa_0"	"Definite"	140	605	"Minimal Pair"
"6"	"Trial03-pos-pesa_0"	"Possessive"	144	603	"Minimal Pair"
"7"	"Trial04-def-palo_0"	"Definite"	127	532	"Minimal Pair"
"8"	"Trial04-pos-palo_0"	"Possessive"	139	550	"Minimal Pair"
"9"	"Trial05-def-coneja_0"	"Definite"	113	678	"Minimal Pair"
"10"	"Trial05-pos-coneja_0"	"Possessive"	126	640	"Minimal Pair"
"11"	"Trial06-def-brujo_0"	"Definite"	80	543	"Minimal Pair"
"12"	"Trial06-pos-brujo_0"	"Possessive"	141	547	"Minimal Pair"
"13"	"Trial07-def-ramo_0"	"Definite"	88	529	"Minimal Pair"
"14"	"Trial07-pos-ramo_0"	"Possessive"	116	567	"Minimal Pair"
"15"	"Trial08-def-puerta_0"	"Definite"	115	613	"Minimal Pair"
"16"	"Trial08-pos-puerta_0"	"Possessive"	144	653	"Minimal Pair"
"17"	"Trial09-def-cocinera_0"	"Definite"	101	745	"Minimal Pair"
"18"	"Trial09-pos-cocinera_0"	"Possessive"	121	752	"Minimal Pair"
"19"	"Trial10-def-oso_0"	"Definite"	143	522	"Minimal Pair"
"20"	"Trial10-pos-oso_0"	"Possessive"	202	552	"Minimal Pair"
"21"	"Trial11-def-ojo_0"	"Definite"	166	494	"Minimal Pair"
"22"	"Trial11-pos-ojo_0"	"Possessive"	188	527	"Minimal Pair"
"23"	"Trial12-def-raya_0"	"Definite"	152	555	"Minimal Pair"
"24"	"Trial12-pos-raya_0"	"Possessive"	170	581	"Minimal Pair"
"25"	"Trial13-def-gata_0"	"Definite"	138	590	"Minimal Pair"
"26"	"Trial13-pos-gata_0"	"Possessive"	178	588	"Minimal Pair"
"27"	"Trial14-def-maestro_0"	"Definite"	91	739	"Minimal Pair"
"28"	"Trial14-pos-maestro_0"	"Possessive"	127	705	"Minimal Pair"
"29"	"Trial15-def-vela_0"	"Definite"	132	531	"Minimal Pair"
"30"	"Trial15-pos-vela_0"	"Possessive"	149	517	"Minimal Pair"
"31"	"Trial16-def-plato_0"	"Definite"	103	609	"Minimal Pair"
"32"	"Trial16-pos-plato_0"	"Possessive"	126	566	"Minimal Pair"
"33"	"Trial17-def-princesa_0"	"Definite"	113	788	"First Syll-unstressed"
"34"	"Trial17-pos-princesa_0"	"Possessive"	127	756	"First Syll-unstressed"
"35"	"Trial18-def-toro_0"	"Definite"	120	614	"First Syll-stressed"
"36"	"Trial18-pos-toro_0"	"Possessive"	163	555	"First Syll-stressed"
"37"	"Trial19-def-libreta_0"	"Definite"	103	623	"First Syll-unstressed"
"38"	"Trial19-pos-libreta_0"	"Possessive"	132	678	"First Syll-unstressed"
"39"	"Trial20-def-coco_0"	"Definite"	113	578	"First Syll-stressed"
"40"	"Trial20-pos-coco_0"	"Possessive"	135	494	"First Syll-stressed"
"41"	"Trial21-def-ninera_0"	"Definite"	132	669	"First Syll-unstressed"
"42"	"Trial21-pos-ninera_0"	"Possessive"	145	703	"First Syll-unstressed"
"43"	"Trial22-def-camello_0"	"Definite"	95	694	"First Syll-unstressed"
"44"	"Trial22-pos-camello_0"	"Possessive"	149	661	"First Syll-unstressed"
"45"	"Trial23-def-caja_0"	"Definite"	125	556	"First Syll-stressed"
"46"	"Trial23-pos-caja_0"	"Possessive"	157	592	"First Syll-stressed"
"47"	"Trial24-def-jabon_0"	"Definite"	87	486	"First Syll-unstressed"
"48"	"Trial24-pos-jabon_0"	"Possessive"	124	570	"First Syll-unstressed"
"49"	"Trial25-def-ballena_0"	"Definite"	139	671	"First Syll-unstressed"
"50"	"Trial25-pos-ballena_0"	"Possessive"	131	643	"First Syll-unstressed"
"51"	"Trial26-def-caballero_0"	"Definite"	91	785	"First Syll-unstressed"
"52"	"Trial26-pos-caballero_0"	"Possessive"	95	725	"First Syll-unstressed"
"53"	"Trial27-def-pina_0"	"Definite"	120	543	"First Syll-stressed"
"54"	"Trial27-pos-pina_0"	"Possessive"	138	593	"First Syll-stressed"
"55"	"Trial28-def-zapato_0"	"Definite"	93	705	"First Syll-unstressed"
"56"	"Trial28-pos-zapato_0"	"Possessive"	129	716	"First Syll-unstressed"
"57"	"Trial29-def-mosca_0"	"Definite"	119	601	"First Syll-stressed"
"58"	"Trial29-pos-mosca_0"	"Possessive"	138	608	"First Syll-stressed"
"59"	"Trial30-def-sapo_0"	"Definite"	107	602	"First Syll-stressed"
"60"	"Trial30-pos-sapo_0"	"Possessive"	159	605	"First Syll-stressed"
"61"	"Trial31-def-casa_0"	"Definite"	117	656	"First Syll-stressed"
"62"	"Trial31-pos-casa_0"	"Possessive"	143	590	"First Syll-stressed"
"63"	"Trial32-def-sombrero_0"	"Definite"	110	687	"First Syll-unstressed"
"64"	"Trial32-pos-sombrero_0"	"Possessive"	136	700	"First Syll-unstressed"
"65"	"Trial33-def-cantante_0"	"Definite"	119	792	"First Syll-unstressed"
"66"	"Trial33-pos-cantante_0"	"Possessive"	141	760	"First Syll-unstressed"
"67"	"Trial34-def-leon_0"	"Definite"	94	496	"First Syll-unstressed"
"68"	"Trial34-pos-leon_0"	"Possessive"	168	515	"First Syll-unstressed"
"69"	"Trial35-def-nube_0"	"Definite"	128	519	"First Syll-stressed"
